카테고리,DON’T,DO,필드명/맥락,설명/비고,최종 확인 날짜
필드명,"MDM 코드 번호 / MDM 코드 / 고객코드 / MDM코드","MDM 코드","정산 페이지 필드명","정산 페이지에서만 쓰이던 '고객코드'를 'MDM 코드'로 변경해도 무방하다고 정민님 확인 완료.",2024-03-22
연락처,핸드폰,휴대폰,"연락처 입력/표시","모든 서비스에서 '휴대폰'으로 통일.",2024-03-22
연락처,"전화번호, 전화, 핸드폰 번호","연락처","어드민 레이블","어드민에서는 '연락처 / 차주 연락처 / 사무실 연락처 / 개인 연락처'처럼 '연락처'를 기본 용어로 사용. 추후 더 정리 필요.",2025-05-26
위치,현위치,현 위치,"위치 관련 텍스트","띄어쓰기 오류 수정. 화면에는 '현 위치'로 표기.", 
계좌,통장사본,통장 사본,"서류 업로드 텍스트","띄어쓰기 적용. '통장 사본'으로 표기.", 
차주,차주유형,차주 유형,"차주 유형 필드/팝업","라벨은 '차주 유형'으로 띄어쓰기.", 
차주,차주아이디,차주 아이디,"driverUserId 라벨","'아이디' 한글 사용, 차주 구분은 앞에 붙여 '차주 아이디'.", 
아이디,"id, ID","아이디","로그인/계정 관련 모든 레이블","기본은 '아이디'로 표기. 맥락에 따라 '차주 아이디', '화주 아이디' 등 역할을 앞에 붙여 구분.",2024-03-22
차량,차량옵션,차량 옵션,"VehicleOptionType 라벨","띄어쓰기 적용.", 
차량,차량번호,차량 번호,"plateNumber 라벨","라벨은 '차량 번호', 데이터는 띄어쓰기 없이 저장 가능(예: 경기12가1234).", 
주문,주문상태,주문 상태,"orderStatus 라벨","띄어쓰기 적용.", 
주문,주문번호,주문 번호,"orderNo 라벨","띄어쓰기 적용.", 
보험,"적재물 배상 책임 보험, 적재물 배상책임 보험","적재물배상책임보험","보험명 표기","'적재물배상책임보험'은 띄어쓰기 없이 붙여 쓰기로 합의(설아&예슬님&동욱님).",2023-09-12
서류,자동차 등록증,자동차등록증,"서류명","네이버 어학사전 기준 서류상 표기 사용.",2023-08-14
서류,사업자 등록 증,사업자등록증,"서류명","서류 상 표기를 기준으로 '사업자등록증'으로 통일.",2024-06-11
서류,"사업자 등록 번호, 사업자 번호",사업자등록번호,"businessRegistrationNumber 라벨","서류 상 표기를 기준으로 '사업자등록번호'로 통일.",2024-06-11
비밀번호,패스워드,비밀번호,"로그인/보안","한글 '비밀번호' 사용.",2023-09-12
배차,배차확정,배차 확정,"배차 확정 버튼/상태","띄어쓰기 적용.", 
인터랙션,클릭하면(모바일),누르면(모바일),"모바일 화면 안내 문구","모바일에서는 '누르면' 사용. 데스크톱/웹 문맥 외에는 '클릭' 지양.", 
내비게이션,네비게이션,내비게이션,"경로 안내/지도 기능","공식 표기 '내비게이션' 사용.", 
행동,"다음에 변경하기, 다음에 등록하기","나중에 변경하기 / 나중에 등록하기","선택적 액션 버튼","'나중에 ~하기'로 통일(설아&주희님 논의).",2023-06-16
센터,CS 콜센터,고객센터,"지원/문의 채널","'콜센터' 대신 '고객센터' 사용.", 
경유,경유지 n곳,경유지 n개,"경유지 관련 텍스트","화주웹, 차주앱 모두 'n개'로 통일.",2023-09-06
불가,"불가능, 불가","~할 수 없어요","에러/제한 메시지","사용자 친화적인 문장형으로 변경. 예: '이 작업은 지금 할 수 없어요.'", 
